1722333557900	LOCALHOST	LogicalDisk	% Disk Time	_Total	0.0248756166547537	2024-07-30 15:30:13
1722333557900	LOCALHOST	Network Interface	Packets/sec	Realtek PCIe GbE Family Controller	0	2024-07-30 15:30:13
1722333557900	LOCALHOST	Processor	% Interrupt Time	_Total	0.416142344474792	2024-07-30 15:30:13
1722333557900	LOCALHOST	Network Interface	Bytes Total/sec	Realtek PCIe GbE Family Controller	0	2024-07-30 15:30:13
1722333557902	LOCALHOST	Network Interface	Bytes Received/sec	Realtek PCIe GbE Family Controller	0	2024-07-30 15:30:13
1722333557902	LOCALHOST	LogicalDisk	Current Disk Queue Length	_Total	0	2024-07-30 15:30:13
1722333557916	LOCALHOST	Network Interface	Current Bandwidth	Qualcomm QCA61x4A 802.11ac Wireless Adapter	72200000	2024-07-30 15:30:13
1722333557916	LOCALHOST	Network Interface	Current Bandwidth	Realtek PCIe GbE Family Controller	0	2024-07-30 15:30:13
1722333557917	LOCALHOST	Network Interface	Bytes Sent/sec	Realtek PCIe GbE Family Controller	0	2024-07-30 15:30:13
1722333557917	LOCALHOST	Network Interface	Packets Received Errors	Realtek PCIe GbE Family Controller	0	2024-07-30 15:30:13
1722333557917	LOCALHOST	Network Interface	Bytes Total/sec	Qualcomm QCA61x4A 802.11ac Wireless Adapter	2071.14892578125	2024-07-30 15:30:13
1722333557930	LOCALHOST	Processor	% Privileged Time	_Total	5.38913536071777	2024-07-30 15:30:13
1722333557930	LOCALHOST	Processor	Interrupts/sec	_Total	3620.90893554688	2024-07-30 15:30:13
1722333557930	LOCALHOST	Processor	% Processor Time	_Total	11.0781078338623	2024-07-30 15:30:13
1722333557930	LOCALHOST	Processor	% User Time	_Total	5.70117044448853	2024-07-30 15:30:13
1722333557930	LOCALHOST	Memory	% Committed Bytes In Use		54.6397972106934	2024-07-30 15:30:13
1722333557933	LOCALHOST	Memory	Available Bytes		8992735232	2024-07-30 15:30:13
1722333557934	LOCALHOST	Memory	Committed Bytes		9837199360	2024-07-30 15:30:13
1722333557934	LOCALHOST	Memory	Transition Faults/sec		1929.75537109375	2024-07-30 15:30:13
1722333557936	LOCALHOST	Network Interface	Bytes Sent/sec	Qualcomm QCA61x4A 802.11ac Wireless Adapter	1223.49536132813	2024-07-30 15:30:13
1722333557934	LOCALHOST	Memory	Page Faults/sec		3388.99877929688	2024-07-30 15:30:13
